pack,path,w,h
guttykreum/arcade,packs/guttykreum/arcade/FemaleMaid/WalkingWest/Femalemaidwalkingwest2.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/FemaleMaid/WalkingWest/Femalemaidwalkingwest3.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/FemaleMaid/WalkingWest/Femalemaidwalkingwest4.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/FemaleMaid/WalkingWest/Femalemaidwalkingwest5.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/FemaleMaid/WalkingWest/Femalemaidwalkingwest6.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/FemaleMaid/WalkingWest/Femalemaidwalkingwest7.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/FemaleMaid/WalkingWest/Femalemaidwalkingwest8.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/RPGMakerVXAce/!GK_JA_Arcadecabinet1.png,384,256
guttykreum/arcade,packs/guttykreum/arcade/RPGMakerVXAce/!GK_JA_Fan1.png,384,256
guttykreum/arcade,packs/guttykreum/arcade/RPGMakerVXAce/!GK_JA_Neon1.png,384,256
guttykreum/arcade,packs/guttykreum/arcade/RPGMakerVXAce/Actor/GK_JA_Actor_1.png,384,256
guttykreum/arcade,packs/guttykreum/arcade/RPGMakerVXAce/GC_JA_A2autotile.png,512,384
guttykreum/arcade,packs/guttykreum/arcade/RPGMakerVXAce/GC_JA_A5.png,256,512
guttykreum/arcade,packs/guttykreum/arcade/RPGMakerVXAce/GC_JA_B.png,512,512
guttykreum/arcade,packs/guttykreum/arcade/Tilemap/Tilemap.png,1056,832
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_001.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_002.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_003.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_004.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_005.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_006.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_007.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_008.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_009.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_010.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_011.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_012.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_013.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_014.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_015.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_016.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_017.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_018.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_019.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_020.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/Tiles/GK_JA_A_021.png,32,32
